Название,Активность,ID,Внешний код,Основное изображение (новый),Основное изображение
Лоток пластиковый H011A,Да,41077,7e896ae8-c82d-11e2-8aa4-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/Технические средства реабилитации/коляски с санитарным оснащением/Н011А/Лоток-пластиковый-L011A.jpg
Блок питания 24V 400 VA для светильники L735,Да,41078,e1bfc656-c858-11e2-8aa4-00259018c255,,
Компрессор поршневой ZW1100A для концентратора LF-H-10A,Да,41075,8fe3b55c-beb7-11e2-8aa4-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/konzentratory/7F-1L/kompressor-porshnevoy-ZW-102-A-220х220.jpg
Колесо переднее к коляске FS108LA,Да,41076,7505f8d9-c444-11e2-8aa4-00259018c255,,
Колесо переднее с вилкой для кресла-коляски Н 001,Да,41074,b1b187ca-be05-11e2-8aa4-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/Коляски/Механические/Н 001/колесо-для-инвалидного-кресла-H001-(переднее-с-вилкой).jpg
Компрессор к матрасу противопролежневому,Да,41279,4254706a-393c-11e2-8a4e-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/Технические средства реабилитации/Матрасы/Компрессор-к-матрасу-противопролежневому.jpg
"Компрессор ""статик"" к матрасу противопролежневому",Да,41280,4254706c-393c-11e2-8a4e-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/Технические средства реабилитации/Матрасы/Компрессор-статик-к-матрасу-противопролежневому.jpg
"Средство реабилитации инвалидов: костыли ""Armed"" FS937L (с УПС)",Да,41278,9cd01892-354e-11e2-8a4e-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/3/kostuli/FS937 s yps/FS937L с УПС_1.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kostuli/FS937 s yps/FS937L с УПС_1.jpg
Средство реабилитации инвалидов: трость Armed FS926,Да,40862,91f0c05d-0931-11e2-8059-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/926/926.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/926/926.jpg
Светильник операционный Armed L734 с принадлежностями,Да,41277,85395eea-f398-4d08-89e3-7911d83125ef,https://www.armed.ru/images/catalog/FOTO mini/white/1/svetilnik/L734/L734.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/svetilnik/L734/L734.jpg
"Средство реабилитации инвалидов: ходунки ""Armed"" FS9632L",Да,40861,fdf129fa-088b-11e2-8059-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/3/Hodunki/FS9632L/9632.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/Hodunki/FS9632L/9632.jpg
Матрас противопролежневый Armed Трубчатый,Да,40860,65d3a1d7-178e-11e2-8033-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/4/matras/Trubchatui (Dengguan)/Матрас_противопр_.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/matras/Trubchatui (Dengguan)/Матрас_противопр_.jpg
"Сиденье для ванны, мод. В00650 т.м. ""Armed""",Да,40858,4a7d1251-1769-11e2-8033-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/4/tabyret/B00650/DSCF1348.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/tabyret/B00650/DSCF1348.jpg
"Захват для предметов Y00717 ""Armed""",Да,40859,4a7d1255-1769-11e2-8033-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/4/zahvat/Y00717/DSCF1501.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/zahvat/Y00717/DSCF1501.jpg
"Табурет для ванны т.м. ""Armed"" В50151",Да,40857,4a7d124f-1769-11e2-8033-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/4/tabyret/B50151/DSCF1152.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/tabyret/B50151/DSCF1152.jpg
"Табурет для ванны т.м. ""Armed"" В00550",Да,40855,4a7d124b-1769-11e2-8033-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/4/tabyret/B00550/DSCF1251.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/tabyret/B00550/DSCF1251.jpg
"Табурет для ванны т.м. ""Armed"" В51650",Да,40856,4a7d124d-1769-11e2-8033-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/4/tabyret/B51650/DSCF1226.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/tabyret/B51650/DSCF1226.jpg
"Табурет для ванны т.м. ""Armed"" В01550",Да,40854,4a7d1249-1769-11e2-8033-00259018c255,,https://www.armed.ru/images/catalog/FOTO mini/white/4/tabyret/В01150/В01550.jpg
"Табурет для ванны т.м. ""Armed"" В50751",Да,40853,4a7d1247-1769-11e2-8033-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/4/tabyret/B50751/DSCF1152.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/tabyret/B50751/B50751_osn.jpg
"Табурет для ванны т.м. ""Armed"" В00750",Да,40852,4a7d1245-1769-11e2-8033-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/4/tabyret/B00750/DSCF1263.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/tabyret/B00750/DSCF1263.jpg
"Негатоскоп общего назначения ""Armed"" 2-кадровый флуоресцентный",Да,40864,ff2dacda-e9c9-4483-889b-b5fb43ed1fc7,https://www.armed.ru/images/catalog/FOTO mini/white/1/negatoskop/2 kadra fl/5. 2 кадра фл.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/negatoskop/2 kadra fl/5. 2 кадра фл.jpg
"Подушка противопролежневая ""Armed"" CQD-J-P",Да,40863,1821d395-91ed-4db8-8823-5930ba29893c,https://www.armed.ru/images/catalog/FOTO mini/white/3/podushki/CQD-J-P/CQD-J-Р_new.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/podushki/CQD-J-P/CQD-J-Р_new.jpg
Корпус для рециркулятора для СН111-130 пластиковый,Да,40850,7017c012-24ff-11e3-84b2-000c290eb93d,,https://www.armed.ru/images/catalog/zapchasti/рециркулятор/111-130 пластик/Корпус к 111-130 пластик.jpg
Кресло-коляска для инвалидов 2500,Да,41281,e0d017f8-707e-4ab3-85c3-03239551c5c7,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/2500/2500.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/2500/2500.jpg
корпус для рециркулятора для СН111-115 пластиковый,Да,40849,5c44798b-24ff-11e3-84b2-000c290eb93d,,https://www.armed.ru/images/catalog/zapchasti/рециркулятор/СН111-115/КОРПУС ДЛЯ РЕЦИРКУЛЯТОРА CH2-15M.jpg
колесо для инвалидного кресла K002ZL,Да,40848,65c410fa-1f88-11e3-84b2-000c290eb93d,,
"Кресло-коляска с санитарым оснащением для инвалидов ""Armed"" FS699L",Да,42499,e087cb1f-1f92-11e3-84b2-000c290eb93d,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS699L/699.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS699L/699l_gl.jpg
Крыло с креплением левое к коктейлеру «ПИНГВИН»,Да,40847,dbbd3f4f-1ae0-11e3-84b2-000c290eb93d,,
Светильник операционный Armed SD 200 с принадлежностями,Да,40845,c06504f1-37eb-4549-8453-b8135118bc8c,https://www.armed.ru/images/catalog/FOTO mini/white/1/svetilnik/SD200/SD200.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/svetilnik/SD200/SD200.jpg
"Средство реабилитации инвалидов: ходунки ""Armed"" FS966LH",Да,40846,916607ce-d501-4b29-8499-eb0defc54627,https://www.armed.ru/images/catalog/FOTO mini/white/3/Hodunki/FS966LH/966.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/Hodunki/FS966LH/966.jpg
"Монитор прикроватный многофункциональный медицинский ""Armed"" PC-900s",Да,40844,93bc0104-a973-4e40-83ff-9f8de7b88499,https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/monitor i pulsu vet/PC-900s/pc-900s.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/monitor i pulsu vet/PC-900s/pc-900s.jpg
Кресло-коляска для инвалидов Н 008,Да,40842,d5c4dfc9-88e2-41ad-82fb-6b605c33ae71,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/H008/008.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/H008/008.jpg
"Облучатель-рециркулятор медицинский ""Armed"" СН211-115 (пластиковый корпус)",Да,40843,7098973b-efc1-491b-83da-54f56f56ede3,,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/211-115 plastic/211-115-пластик.jpg
"Средство реабилитации инвалидов: ходунки ""Armed"" FS9125L",Да,40841,d84b7236-e766-4682-8280-973ef5bf7b89,https://www.armed.ru/images/catalog/FOTO mini/white/3/Hodunki/FS9125L/9125.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/Hodunki/FS9125L/9125.jpg
Плата управления к 10л,Да,40840,5205d0a7-8ca7-11e2-8209-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/konzentratory/7LF-H-10A/плата-управления-к-10-L.jpg
Средство реабилитации инвалидов: трость Armed FS934,Да,40837,362c9044-cb76-43d1-81e2-4ddcbc85e72f,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/934/934.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/934/934.jpg
Крышка основания,Да,40839,4fcb857f-8c6d-11e2-8209-00259018c255,,
"Фильтр тонкой очистки (бумажный) к концентратору кислорода 7F-5, 7F-5L",Да,40836,f002e967-9cf0-11e6-942c-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/zapchasti/konzentratory/7F-5L/фильтр-тонкой-очистки-лепестковый-(бумажный)-от-5-L.jpg
Маска к ингалятору 402А,Да,40834,099bfb93-8a32-11e2-81d9-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/ингалятор/Маска-кислородная.jpg
Маска (кислородная) размер: L,Да,40835,099bfb9b-8a32-11e2-81d9-00259018c255,,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/maski/maska L/L.jpg
Мундштук оральный к ингалятору 403В,Да,40833,099bfb8f-8a32-11e2-81d9-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/ингалятор/mundshtuk-oralnyi-ingalyator.jpg
Плата управления к 7F-5L на 2 выхода,Да,40831,894968b4-8a18-11e2-81d9-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/konzentratory/7F-5L/Plata-upravleniya-к-7F-5L.jpg
Компрессор поршневой ZW-60/2-A для концентратора кислорода 7F-1L,Да,40832,9e1d1cb6-8a2c-11e2-81d9-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/konzentratory/7F-1L/kompressor-porshnevoy-ZW-102-A.jpg
"Панель боковая правая белая к концентратору кислорода 7F-3, 7F-3L",Да,40830,a9f89e98-8a0e-11e2-81d9-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/konzentratory/7F-3L/панель боковая правая белая.jpg
Крепежный болт для кровати RS105-B,Да,40829,b62eda45-8a0c-11e2-81d9-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/Медицинская мебель и сопутствующие товары/Кровати механические/RS105-B/крепежный болт к кровати.jpg
Устройство против скольжения FS580,Да,40827,20556f6c-aae6-11e1-8174-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/3/kostuli/YPS FS580/упс.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kostuli/YPS FS580/упс.jpg
"Подушка противопролежневая ""Armed"" CQD-J-T",Да,40828,0b01e29b-4a8a-4f51-817d-16d5a45185c6,https://www.armed.ru/images/catalog/FOTO mini/white/3/podushki/CQD-J-T/CQD-J-T_.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/podushki/CQD-J-T/CQD-J-T_.jpg
Кровать функциональная электрическая Armed с принадлежностями RS305,Да,41523,8024a84f-d48f-11e1-811b-00259018c255,,https://www.armed.ru/images/catalog/FOTO mini/white/2/Krovat/RS305/RS305.jpg
Оптический прибор: увеличительная лупа MG82018-L,Да,40825,9c2cb565-ccb3-11e1-811b-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/4/Lypa/82018-L/Лупа MG82018-L.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/Lypa/82018-L/Лупа MG82018-L.jpg
Оптический прибор: увеличительная лупа MG82018,Да,40826,9c2cb568-ccb3-11e1-811b-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/4/Lypa/82018/Лупа MG82018.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/Lypa/82018/Лупа MG82018.jpg
Оптический прибор: увеличительная лупа MG89059,Да,40824,9c2cb562-ccb3-11e1-811b-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/4/Lypa/89059/Лупа MG89059.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/Lypa/89059/Лупа MG89059.jpg
Оптический прибор: увеличительная лупа MG18145,Да,40822,9c2cb559-ccb3-11e1-811b-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/4/Lypa/18145/Лупа МG18145.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/Lypa/18145/Лупа МG18145.jpg
Лампа для чтения MG89078,Да,40823,9c2cb55c-ccb3-11e1-811b-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/4/Lypa/89078/Лупа MG89078.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/Lypa/89078/Лупа MG89078.jpg
Баласт для рециркулятора 211-115п,Да,40821,9c2cb53f-ccb3-11e1-811b-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/рециркулятор/211-115/баласт-для-рециркулятора-211---115---6-выходов-(дроссель).jpg
"Банка к отсасывателю ""Armed"" 1л, (7Е-А, 7Е-B, 7Е-D) пластик",Да,40819,864f8ca2-6f78-11e2-8101-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/Otsasuvatel/banka 1 l/1л.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/Otsasuvatel/banka 1 l/1л.jpg
Влагоуловитель (клапан влагоудаления) к LF-H-10A,Да,40820,7f524a69-702b-11e2-8101-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/konzentratory/7LF-H-10A/Фильтр-влагоуловитель-Fv10.jpg
"Крышка к банке отсасывателя ""Armed"" 2,5л, (7A-23B, 7A-23D) стекло",Да,40818,864f8ca0-6f78-11e2-8101-00259018c255,,"https://www.armed.ru/images/catalog/zapchasti/otsasyvateli/Крышка к банке отсасывателя 2,5л стекло (7А-23В, 7А-23D)(1).jpg"
Подножка левая в сборе к коляске FS951B,Да,40816,d3162e5e-6c3a-11e2-8101-00259018c255,,
"Аккумуляторная батарея 24В 21Ач AF8867220PMHRE (FS105L,FS108LA)",Да,40817,864f8c96-6f78-11e2-8101-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/Технические средства реабилитации/коляски/FS108LA/аккумуляторная-батарея--FS-108-LA.jpg
Подножка правая в сборе к коляске FS951B,Да,40815,d3162e5c-6c3a-11e2-8101-00259018c255,,
Сиденье C001 (43см),Нет,40813,9c119f4c-6b7a-11e2-8101-00259018c255,,
Отражатель SD-200,Да,40814,9c119f53-6b7a-11e2-8101-00259018c255,,
Кольцо стопорное 8мм от RS101-A,Да,40812,7e03843d-6acb-11e2-8101-00259018c255,,
Блок клапанов к 7F-1L,Да,40811,25cc4a48-6aa5-11e2-8101-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/konzentratory/7F-1L/Blok-zapornyh-klapanov-BZK-1L.jpg
"Стойка для установки облучателя-рециркулятора, модель СПР-1",Да,54431,668511c7-cf60-11e7-80ce-00155d002e05,,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/СПР-1/SPR-1_osn.jpg
"Палки для скандинавской ходьбы т.м. ""Armed"": STC037",Да,54430,1431bb81-c484-11e7-80ca-00155d002e03,,https://www.armed.ru/images/catalog/FOTO mini/white/3/Palki dlya skand hodbu/STC037/STC037_osn.jpg
"Облучатель-рециркулятор медицинский ""Armed"" СH111-130 (металлический корпус) (бронза)",Да,53181,54f4c625-ba57-11e7-80ca-00155d002e03,,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/111-130 taimer bronza/рециркулятор-111-130-(металл-с-таймером-бронза).jpg
"Палки для скандинавской ходьбы т.м. ""Armed"": STC035",Да,54429,a8b66919-c483-11e7-80ca-00155d002e03,https://www.armed.ru/images/catalog/FOTO mini/white/3/Palki dlya skand hodbu/STC035/Stc035_(антишок).jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/Palki dlya skand hodbu/STC035/Stc035_(антишок).jpg
"Монитор прикроватный многофункциональный медицинский ""Armed"": РС-9000f с принадлежностями (с блоком капнографии)",Да,53272,b6caffcd-ba56-11e7-80ca-00155d002e03,,https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/monitor i pulsu vet/PC-9000f/pc-9000f_лого.jpg
"Отсасыватель хирургический электрический ""Armed"" 7А",Да,53499,dcc6efce-a454-11e7-80c9-00155d002e03,https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/Otsasuvatel/7А/7A_osn.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/Otsasuvatel/7А/7A_osn.jpg
"Каталог ""Технические средства реабилитации""",Да,53840,6d851e89-a912-11e7-80c9-00155d002e03,,https://www.armed.ru/images/catalog/FOTO mini/white/Reclama/Katalog TSR/ТСР.зкте.jpg
"Пульсоксиметр медицинский ""Armed"" YX302",Да,48385,0ab3ed98-9958-11e7-80c8-00155d002e03,,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Pulsoksimetr/YX302/yx302 new.JPG
"Пульсоксиметр медицинский ""Armed"" YX301",Да,48384,a9e40ee8-9957-11e7-80c8-00155d002e03,,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Pulsoksimetr/YX301/YX301 new.JPG
"Средство реабилитации инвалидов: костыли ""Armed"" FS937L (с УПС), цвет синий",Да,47301,4eae02dd-916c-11e7-80c8-00155d002e03,,https://www.armed.ru/images/catalog/FOTO mini/white/3/kostuli/FS937L s yps sinii/FS_937L_osn.jpg
"Пульсоксиметр медицинский ""Armed"" YX300",Да,48374,dd0b6072-9945-11e7-80c8-00155d002e03,,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Pulsoksimetr/YX300 orange/YX-300 new.JPG
"Матрац четырехсекционный, с чехлом из винилис кожи, Торговой марки ""Armed""",Да,46481,44af1e80-8bc3-11e7-80c6-00155d002e03,,https://www.armed.ru/images/catalog/FOTO mini/white/2/Matras/4 sekcionniu vinilis/Матрац 4 с чехлом из винилис кожи.jpg
Кресло-коляска для инвалидов Armed FS904В,Да,40797,232bd48e-3518-4081-8083-945374d4e4b1,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS904B/FS 904B.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS904B/FS 904B_.jpg
"Средство реабилитации инвалидов: ходунки ""Armed"" FS919L",Да,40796,96fac50e-8892-4df9-8065-379876513ced,https://www.armed.ru/images/catalog/FOTO mini/white/3/Hodunki/FS919L/919.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/Hodunki/FS919L/919.jpg
"Средство реабилитации инвалидов: ходунки ""Armed"" FS9122L",Да,40671,d9f935e6-05b3-4c5b-8fde-aa2d5219a9dd,,https://www.armed.ru/images/catalog/FOTO mini/white/3/Hodunki/FS9122L/FS9122_osn.jpg
Трубка аспирационная 2 м для отcасывателя 7Е,Да,40681,461e83d2-a3ec-11e1-9152-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/otsasyvateli/7E-D/пластиковая трубка.jpg
"Средство реабилитации инвалидов: ходунки ""Armed"" FS917L",Да,40687,89ec7ca9-be9b-43a5-9353-62bb11a05d93,https://www.armed.ru/images/catalog/FOTO mini/white/3/Hodunki/FS917L/917.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/Hodunki/FS917L/917.jpg
Средство реабилитации инвалидов: трость Armed FS940L,Да,40688,4a6a35da-ad91-4562-93ea-6c0ae490ce44,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/940/940.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/940/940.jpg
"Фильтр воздушный тонкой очистки, корпус пластик к 10",Да,40701,de31c0a8-50ed-11e3-93f7-b8ca3aeddcd4,,https://www.armed.ru/images/catalog/zapchasti/konzentratory/7LF-H-10A/фильтр для очистки атмосферного воздуха (пластик).jpg
"Фильтр тонкой очистки (бумажный) к концентратору кислорода 7F-5, 7F-5L",Да,40704,fc2cadce-58b8-11e3-93fa-b8ca3aeddcd4,,
Цоколь лампы к 6612,Да,40722,0dc6ea84-8fda-11e3-9402-b8ca3aeddcd4,,
"Медицинский многофункциональный операционный стол ""Armed"" ST-II",Да,40806,b7c2273c-6910-11e2-8101-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/1/Oper stol/ST-II/2.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/Oper stol/ST-II/2.jpg
"Медицинский многофункциональный операционный стол ""Armed"" ST-III",Да,40807,b7c2273e-6910-11e2-8101-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/1/Oper stol/ST-III/3.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/Oper stol/ST-III/3.jpg
"Медицинский многофункциональный операционный стол ""Armed"" ST-IV",Да,40808,b7c22740-6910-11e2-8101-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/1/Oper stol/ST-IV/4.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/Oper stol/ST-IV/4.jpg
"Медицинский многофункциональный операционный стол ""Armed"" ST-V",Да,40809,b7c22742-6910-11e2-8101-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/1/Oper stol/ST-V/5.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/Oper stol/ST-V/5.jpg
"Средство реабилитации инвалидов: трость YU821 ""Armed"" (10) (структура темное дерево)",Да,41095,a8ce7d7d-108f-11e3-8ae8-000c290eb93d,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/821 (10)/821-(10).jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/821 (10)/821-(10).jpg
колесо для инвалидного кресла K001Z (заднее),Да,41097,66e2271d-8d4c-11e2-8b31-00259018c255,,
Фильтр бактерицидный для отсасывателя 7Е,Да,41101,c8109b63-8f8e-11e2-8b31-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/otsasyvateli/ФИЛЬТР ДЛЯ ОЧИСТКИ ВОЗДУКА ДЛЯ 7E.jpg
Электродвигатель 35BYJ46 к дозатору шприцевому для внутривенного вливания MP-2003,Да,41105,f74c8f33-9129-11e2-8b31-00259018c255,,"https://www.armed.ru/images/catalog/zapchasti/Дозаторы/4,1 ЭЛЕКТРОДВИГАТЕЛЬ 35BYJ46 НА MP-2003.jpg"
"Отсасыватель хирургический электрический ""Armed"" 7А-23D",Да,40670,c84b92fd-fea4-4377-8fda-fd5d64119943,https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/Otsasuvatel/7A-23D/7А-23D.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/Otsasuvatel/7A-23D/7А-23D.jpg
"Облучатель-рециркулятор медицинский ""Armed"" СH111-115 (пластиковый корпус)",Да,40673,b8d8cd67-9ac4-443e-8ff9-8618bcbaa33a,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/111-115 plastic white taimer/ch111-115 пластик_.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/111-115 plastic white taimer/ch111-115 пластик_.jpg
"Негатоскоп общего назначения ""Armed"" 3-кадровый",Да,40674,9235df85-34bb-4cc4-9084-517fb3dce300,https://www.armed.ru/images/catalog/FOTO mini/white/1/negatoskop/3 kadra/3 кадра.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/negatoskop/3 kadra/3 кадра.jpg
"Поручень пластиковый, модель FS (размер: L) (67см)",Да,40677,91c83292-96b3-4c64-90a5-c8ea1ffce42b,https://www.armed.ru/images/catalog/FOTO mini/white/4/poruchni/L plastic/Поручень FS (l).jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/poruchni/L plastic/Поручень FS (l).jpg
Спинка головная (дерево) для кровати FS3236WM,Да,40685,d0d3bafb-4368-11e2-9291-00259018c255,,
Плата управления для облучателя-рециркулятора СН-211-130 (пластиковый корпус),Да,40686,0df656aa-4392-11e2-9291-00259018c255,,
Мундштук назальный к ингалятору 403В,Да,40692,476bd1a6-3d38-11e3-93f6-b8ca3aeddcd4,,https://www.armed.ru/images/catalog/zapchasti/ингалятор/mundshtuk-nozalnyi-ingalyator.jpg
590 ПОДУШКА ПРОТИВОПРОЛЕЖНЕВАЯ ОБЛЕГЧЕННАЯ,Да,40693,be9ef9db-3d7c-11e3-93f6-b8ca3aeddcd4,https://www.armed.ru/images/catalog/FOTO mini/white/3/podushki/590/590_17-01-11Armed 1.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/podushki/590/590_17-01-11Armed 1.jpg
"Сиденье (насадка) для унитаза ""Armed"" С60050",Да,40698,a10346c0-4794-11e3-93f6-b8ca3aeddcd4,https://www.armed.ru/images/catalog/FOTO mini/white/4/nasadki/60050/DSCF7798.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/nasadki/60050/DSCF7798.jpg
"Нож кухонный из нержавеющей стали, т.м. “Armed”",Да,40700,e81bfdf8-5049-11e3-93f7-b8ca3aeddcd4,https://www.armed.ru/images/catalog/FOTO mini/white/4/nogi/kyhonnyi/DSCF4581.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/nogi/kyhonnyi/DSCF4581.jpg
"Облучатель-рециркулятор медицинский ""Armed"" СH211-115 (металлический корпус)",Да,40702,9b1150fd-5699-11e3-93f9-b8ca3aeddcd4,,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/211-115 metall/met ch211-115_.jpg
"Облучатель-рециркулятор медицинский ""Armed"" СН211-130 (металлический корпус)",Да,40703,b2f3af6f-5699-11e3-93f9-b8ca3aeddcd4,,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/211-130 metall/ch211-130 мет.jpg
Коммуникационное устройство управления: плата управления для рециркулятора СН***,Да,40705,6e1091a5-5b4c-11e3-93fa-b8ca3aeddcd4,,https://www.armed.ru/images/catalog/zapchasti/рециркулятор/плата управления 5-15П.jpg
Спинка головная для кровати RS 101 A (RS-3),Да,40706,c12a26d3-5cd7-11e3-93fb-b8ca3aeddcd4,,
Спинка ножная для кровати RS 101 A (RS-3),Да,40707,d244e9ff-5cd7-11e3-93fb-b8ca3aeddcd4,,
Плафон в сборе для LD-II,Да,40709,f5df3a26-6627-11e3-93fd-b8ca3aeddcd4,,
Плата индикации для облучателя-рециркулятора CH-211M,Да,40710,91c95e56-6637-11e3-93fd-b8ca3aeddcd4,,https://www.armed.ru/images/catalog/zapchasti/рециркулятор/211-115/Плата-индикации-для-облучателя---рециркулятора-CH211-мет.jpg
"Рейлинг левый к кровати RS104B, RS104H, RS105B, RS105C, RS112A, RS106B, RS105D, RS101F, RS201, RS301",Да,40711,a709a33e-6705-11e3-93fd-b8ca3aeddcd4,,https://www.armed.ru/images/catalog/zapchasti/Медицинская мебель и сопутствующие товары/Кровати механические/RS105-B/рейлинг боковой левый RS105B.jpg
