Название,Активность,ID,Внешний код,Основное изображение (новый),Основное изображение
"Кресло-коляска для инвалидов ""Armed"" FS959LQ",Да,41466,4e627693-f24c-4abd-bbea-03705159697c,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS959LQ/959_.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS959LQ/959_.jpg
Кресло-коляска для инвалидов Н 009,Да,41468,8616091f-54d8-4f31-b2e9-fe56ec0a6d00,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/H009/009.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/H009/H009_osn.jpg
Кресло-коляска для инвалидов Н 010,Да,41473,5a1900d0-37eb-11e3-b264-000c290eb93d,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/H010/010.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/H010/010.jpg
"Кресло-коляска для инвалидов ""Armed"" FS980LA",Да,41474,5266b454-56ea-4e87-bd66-b0945aade68b,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS980LA/FS980LA.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS980LA/FS980LA.jpg
"Средство реабилитации инвалидов: костыли ""Armed"" FS935 (размер M)",Да,41475,fe58233f-00bb-4778-bdda-3ea719d9dd03,https://www.armed.ru/images/catalog/FOTO mini/white/3/kostuli/FS935/FS935.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kostuli/FS935/FS935.jpg
"Средство реабилитации инвалидов: костыли ""Armed"" FS937L (без УПС)",Да,41477,2805870d-55c6-4586-bdfa-f66f9e91ae88,https://www.armed.ru/images/catalog/FOTO mini/white/3/kostuli/FS937 bez yps/FS937L без УПС_DSCF4396.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kostuli/FS937 bez yps/FS 937L_(без УПС)_osn.jpg
Кресло-коляска для инвалидов H 009B,Да,41506,a2751137-8b3d-4344-a498-455f766c04cd,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/H009B/009.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/H009B/009.jpg
"Кресло-коляска с санитарным оснащением для инвалидов ""Armed"" FS696",Да,41265,2dcd840c-7592-41a4-a310-1ee3340dd912,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS696/696.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS696/696.jpg
Колесо переднее для H035,Да,41267,a5b805ad-e970-11e2-a441-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/Технические средства реабилитации/коляски/Н035/Колесо переднее для Н035.jpg
Блок клапанов к 7F-5,Да,41295,85c64415-4a6a-11e2-a50b-00259018c255,,
Блок клапанов к 7F-3L,Да,41299,02982f5f-4e61-11e2-a50b-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/konzentratory/7F-3L/Blok-zapornyh-klapanov-BZK-3L.jpg
"Коктейлер (сосуд) кислородный ""Armed"" ""Пингвин""",Да,41301,be478cd3-0941-44ac-a514-b1eaf90d0728,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Kokteiler/Pingvin/Пингвин.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Kokteiler/Pingvin/ПИНГВИН_osn.jpg
Блок питания к светильнику ZMD ( А-200-S 24v 8.3Am),Да,41309,08f81801-f9e9-11e2-a5c1-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/Светильники/ZMD/блок-питания-к-светильнику-ZMD.jpg
Блок клапанов для 5L с выходом,Да,41310,757f20d5-fb4a-11e2-a5c1-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/konzentratory/7F-5L/блок-запорных-клапанов-BZK-5L.jpg
Днище для 7F-5,Нет,41311,c86dcb49-fb4a-11e2-a5c1-00259018c255,,
Столовый прибор из нержавеющей стали т.м. “Armed”: вилка,Да,41313,57703873-fe94-11e2-a5c1-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/4/vilka/DSCF4412.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/vilka/DSCF4412.jpg
Дозатор шприцевой автоматизированный SK-500I,Да,41440,bcebec81-2d91-11e2-b485-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/Dozator/SK-500I/4. SK-500I.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/Dozator/SK-500I/4. SK-500I.jpg
Каталог Медицинские функциональные кровати,Да,52654,df9c9dc8-e1e3-11e1-bfe6-00259018c255,,https://www.armed.ru/images/catalog/FOTO mini/white/Reclama/Katalog krovat/1-Каталог кровати К4.jpg
Ступенька СТ-1,Да,41138,211ca531-6f6e-11e6-942a-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/stupenki/ST-1/СТ-1.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/stupenki/ST-1/СТ1.jpg
"Увлажнитель воздуха электрический торговой марки ""Armed"" HQ-2008A2",Да,41139,8f0ac2af-767f-11e6-942b-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/yvlagniteli/2008A/02_IMG_0070.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/yvlagniteli/2008A/2008.jpg
"Увлажнитель воздуха электрический торговой марки ""Armed"" HQ-UH811A",Да,41140,b7cdfc94-767f-11e6-942b-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/yvlagniteli/811A/811.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/yvlagniteli/811A/811.jpg
"Увлажнитель воздуха электрический торговой марки ""Armed"" HQ-602A",Да,41141,f44449d6-767f-11e6-942b-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/yvlagniteli/602A/602.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/yvlagniteli/602A/602.jpg
"Увлажнитель воздуха электрический торговой марки ""Armed"" HQ-UH812K",Да,41142,16a6589d-7680-11e6-942b-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/yvlagniteli/812A/812.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/yvlagniteli/812A/812.jpg
"Тренажер для верхней и нижней части тела ""Armed"": HJ-086",Да,41144,d7a90dcb-a009-11e6-942c-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/trenagor/HJ-086/HJ-086.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/trenagor/HJ-086/HJ-086.jpg
"Тренажер для верхней и нижней части тела ""Armed"": HJ-086A",Да,41145,fd10d5a1-a009-11e6-942c-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/trenagor/HJ-086A/HJ-086A.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/trenagor/HJ-086A/HJ-086A.jpg
Мебель для медицинских учреждений: стойка приборная Спя-1 (голубая),Да,41147,5e2e9b79-a1c6-11e6-942c-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/Спя-1 голубая/СПЯ-1_гол_0006.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/Спя-1 голубая/СПЯ-1_гол_0006.jpg
Спинки от кровати RS201,Да,41367,3bea6eb7-d277-11e2-acc3-00259018c255,,
Спинки от кровати FS3236WМ,Да,41369,8bca22c0-d279-11e2-acc3-00259018c255,,
Спинки от кровати RS301,Да,41371,8bca22cf-d279-11e2-acc3-00259018c255,,
Штатив для светильника LED650,Да,41374,53af0fc5-d35e-11e2-acc3-00259018c255,,
Средство реабилитации инвалидов: трость Armed FS924,Да,41377,199cd19b-dc11-4d00-ad43-ff984575c47d,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/924/924.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/924/924.jpg
"Прибор для измерения артериального давления и частоты пульса электронный (тонометр) «Armed» YE-630A (с речевым выходом, с адаптером)",Да,41382,236695be-218f-11e2-aefd-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/4/tonometr/630A/16-12-27Армед1495.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/tonometr/630A/16-12-27Армед1495.jpg
"Фильтр тонкой очистки (нетканый материал) к концентратору кислорода 7F-3, 7F-3L, 7F-3A",Да,41384,6ee7a288-297e-11e2-aefd-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/konzentratory/7F-3L/DSCF9936.jpg
Средство реабилитации инвалидов: трость Armed FS921,Да,41411,88df4f23-bac6-11e1-b0d6-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/921/921.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/921/921.jpg
Средство реабилитации инвалидов: трость Armed FS922,Да,41412,88df4f26-bac6-11e1-b0d6-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/922/922.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/922/922.jpg
"Стол прикроватный ""Armed"" YU610",Да,41413,0a117bab-bc58-11e1-b0d6-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/2/Sopyt tovar/YU610 poroshok/DSC_9836.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/2/Sopyt tovar/YU610 poroshok/DSC_9836.jpg
Средство реабилитации инвалидов: трость Armed FS947,Да,41414,155b73fe-bf8d-11e1-b0d6-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/947/947.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/947/947.jpg
Цеолитовые колонки L10 к концентратору 10 л (блок из трех колонок),Да,41415,184f151d-c734-11e1-b0d6-00259018c255,,"https://www.armed.ru/images/catalog/zapchasti/konzentratory/7LF-H-10A/Фильтры-воздушные-(цеолитовые-колонки),-мод.jpg"
"Средство реабилитации инвалидов: ходунки ""Armed"" FS9123L",Да,41425,8d50c6f9-358b-4f19-b203-1b626798914d,,https://www.armed.ru/images/catalog/FOTO mini/white/3/Hodunki/FS9123L/FS9123.jpg
"Тонометр механический медицинский ""Armed"" с принадлежностями 3.02.008 (black head)",Да,41429,24951ecc-2a69-11e3-b264-000c290eb93d,https://www.armed.ru/images/catalog/FOTO mini/white/4/tonometr/black head/DSCF4356.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/tonometr/black head/DSCF4356.jpg
"Тонометр механический медицинский ""Armed"" с принадлежностями 3.02.008 (white head)",Да,41430,37023c7b-2a69-11e3-b264-000c290eb93d,https://www.armed.ru/images/catalog/FOTO mini/white/4/tonometr/white head/тонометр_1000 px.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/tonometr/white head/тонометр_1000 px.jpg
"Средство реабилитации инвалидов: ходунки ""Armed"" FS912L",Да,41455,a382d53b-5918-4fa7-b838-142b06158d98,https://www.armed.ru/images/catalog/FOTO mini/white/3/Hodunki/FS912L/912.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/Hodunki/FS912L/912.jpg
"Средство реабилитации инвалидов: ходунки ""Armed"" FS913L",Да,41457,c93994a7-5a36-43ae-b898-06c037db55b9,https://www.armed.ru/images/catalog/FOTO mini/white/3/Hodunki/FS913L/913.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/Hodunki/FS913L/913.jpg
"Увлажнитель кислорода XY-98BII ""Armed"" (с ротаметром)",Да,41459,ea1679ef-643f-4f3e-b927-782e26500cd7,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/yvlagnitel XY-98II/увл.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/yvlagnitel XY-98II/увл.jpg
"Средство реабилитации инвалидов: Трость YU821 ""Armed"" с устройством против скольжения",Да,41462,478acb27-b46b-11e6-942d-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/821/821.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/821/821.jpg
"Палки для скандинавской ходьбы т.м. ""Armed"": STC033",Да,41126,218b9807-40ff-11e6-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/3/Palki dlya skand hodbu/STC033/STC033_IMG_6805.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/Palki dlya skand hodbu/STC033/STC033_0001 (1).jpg
"Палки для скандинавской ходьбы т.м. ""Armed"": STC034",Да,41127,3fee8d6b-40ff-11e6-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/3/Palki dlya skand hodbu/STC034/STC034_IMG_6821.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/Palki dlya skand hodbu/STC034/STC034_0001.jpg
Массажер LC-2017,Да,41128,e46366c0-4121-11e6-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/massager/2017/IMG_8651.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/massager/2017/IMG_8663.jpg
Массажер LC-Q020,Да,41129,ffdb539c-4121-11e6-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/massager/Q020/IMG_8521.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/massager/Q020/IMG_8521.jpg
Массажер LC-2007KB,Да,41130,1f3257f7-4122-11e6-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/massager/2007KB/IMG_8591.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/massager/2007KB/IMG_8584.jpg
Массажер LC-2007AA,Да,41131,451898a8-4122-11e6-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/massager/2007AA/IMG_8637.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/massager/2007AA/IMG_8612.jpg
Массажер LC-2013,Да,41132,60e8571f-4122-11e6-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/massager/2013/IMG_8673.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/massager/2013/IMG_8672.jpg
"Матрац медицинский противопролежневый с компрессором ""АРМЕД"" ДЖС130Ф",Да,41135,638a3c06-5faf-11e6-942a-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/matras/ДЖС130Ф/Armed 0726.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/matras/ДЖС130Ф/Armed 0726.jpg
Светильник медицинский АРМЕД ЛД-2-ЛЕД,Да,41136,fac6c8fa-639d-11e6-942a-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/svetilnik/ЛД-2/ЛД-2.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/svetilnik/ЛД-2/ЛД-2.jpg
"Светильник медицинский хирургический ""Armed"": ZD-I",Да,41137,34c77fef-6b5f-11e6-942a-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/svetilnik/ZD-I/ZD-1.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/svetilnik/ZD-I/ZD-1.jpg
"Подушка для сидения противопролежневая ""АРМЕД"": ППП-1 (М)",Да,41143,6a9b092a-952b-11e6-942c-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/3/podushki/ППП-1/ППП-1.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/podushki/ППП-1/ППП-1.jpg
С 2725 Силиконовый протектор первого пальца стопы,Да,41148,26f6b024-bd23-11e6-942d-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/C-2725/С2725_osn.jpg
С 1705 Силиконовая объемная межпальцевая перегородка с фиксирующей петлей,Да,41149,cf6b153e-bd22-11e6-942d-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/C-1705/С 1705.jpg
С 1708 Силиконовый протектор первого пальца стопы,Да,41150,d825176a-bd22-11e6-942d-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/C-1708/С 1708.jpg
С 2726 Силиконовый протектор первого пальца стопы на тканевой основе,Да,41151,2fdb9c88-bd23-11e6-942d-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/C-2726/C2726_osn.jpg
Ложе в сборе от кровати RS105-В,Да,41355,58df6965-d25a-11e2-acc3-00259018c255,,
Спинки от кровати RS105-В,Да,41357,07a15366-d273-11e2-acc3-00259018c255,,
Ложе в сборе от кровати RS105-С,Да,41358,07a15370-d273-11e2-acc3-00259018c255,,
Спинки от кровати RS105-С,Да,41359,07a15375-d273-11e2-acc3-00259018c255,,
Ложе в сборе от кровати RS106-D,Да,41360,07a1538e-d273-11e2-acc3-00259018c255,,
Ложе в сборе от кровати FS3238WGZF4,Да,41362,3bea6e94-d277-11e2-acc3-00259018c255,,
Спинки от кровати FS3238WGZF4,Да,41363,3bea6e99-d277-11e2-acc3-00259018c255,,
Ложе в сборе от кровати FS3238W,Да,41364,3bea6ea3-d277-11e2-acc3-00259018c255,,
Спинки от кровати FS3238W,Да,41365,3bea6ea8-d277-11e2-acc3-00259018c255,,
Ложе в сборе от кровати RS201,Да,41366,3bea6eb2-d277-11e2-acc3-00259018c255,,
Ложе в сборе от кровати FS3236WМ,Да,41368,8bca22bb-d279-11e2-acc3-00259018c255,,
Ложе в сборе от кровати RS301,Да,41370,8bca22ca-d279-11e2-acc3-00259018c255,,
Купол 1 для светильника LED650,Да,41372,53af0fbb-d35e-11e2-acc3-00259018c255,,
Купол 2 для светильника LED650,Да,41373,53af0fc0-d35e-11e2-acc3-00259018c255,,
Микроскоп медицинский для биохимических исследований: XS-90,Да,41376,91cf6842-04fa-48f2-ad10-73d0ddba6211,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/mikroskop/XS-90/XS-90_XS-90.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/mikroskop/XS-90/XS-90_XS-90.jpg
"Рефлектор (синяя лампа) ""Ясное солнышко"" медицинский для светотерапии",Да,41378,e6f0cbf1-4d60-4dd8-add5-24c7b802f00b,https://www.armed.ru/images/catalog/FOTO mini/white/4/reflektor/Лампа синяя.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/reflektor/Лампа синяя.jpg
Микроскоп медицинский для биохимических исследований: XSP-104,Да,41383,236695c4-218f-11e2-aefd-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/mikroskop/XSP-104/xsp-104.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/mikroskop/XSP-104/xsp-104.jpg
Плата управления для облучателя-рециркулятора СН-311-115 (пластиковый корпус),Да,41421,38a0f558-e478-11e2-b178-00259018c255,,
Мембрана от компрессора черная к 10л,Да,41422,38a0f571-e478-11e2-b178-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/konzentratory/7LF-H-10A/мембрана для компрессора черная.jpg
Плата управления для облучателя-рециркулятора СН-211-115 (пластиковый корпус),Да,41423,38a0f578-e478-11e2-b178-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/рециркулятор/211-115/плата управления для СН2-15Р.jpg
Лампа ультрафиолетовая “Armed” F30 T8,Да,41424,5ad48d4c-6aec-4bbe-b1fb-da0fe0536e26,,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/F30T8/30.jpg
Ложе в сборе от кровати RS104-С,Да,41426,4cf85bc4-f043-11e2-b22e-00259018c255,,
Спинки от кровати RS104-С,Да,41427,5ab42aa4-f043-11e2-b22e-00259018c255,,
Подголовник для коляски FS954GC,Да,41432,7ec95af8-2cf5-11e3-b264-000c290eb93d,,
"Отсасыватель хирургический электрический ""Armed"" 7Е-А",Да,41452,0a43ac71-ea3d-4536-b6c6-aadc0d0e75c9,https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/Otsasuvatel/7E-A/7E-A.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/Otsasuvatel/7E-A/7E-A.jpg
"Облучатель-рециркулятор медицинский ""Armed"" СН211-130 (пластиковый корпус)",Да,41453,86b7d6cd-7ff2-4804-b71e-9b800b6f7e03,,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/211-130 plastic/ch211-130 пластик.jpg
